"x","y","label"
-3.36,2.11,1
-1.1,3.74,1
-3.77,0.85,1
-0.43,4.13,1
-2.41,-3.28,1
-3.55,-1.15,1
-3.13,-2.2,1
-3.3,-2.32,1
3.35,-1.25,1
1.39,-3.7,1
4.03,-1.3,1
-1.54,-3.33,1
3.17,-2.42,1
3.63,-1.37,1
-2.66,-2.42,1
-1.49,3.81,1
-4.13,0.01,1
-3.15,2.57,1
3.18,-2.87,1
-2.85,-2.71,1
3.52,-2.37,1
3.78,-1.17,1
-1.3,-3.98,1
1.45,3.64,1
-4.17,0.8,1
3.79,1.99,1
-3.01,2.65,1
-2.61,2.93,1
-3.73,0.66,1
-2.08,2.96,1
3.96,0.68,1
-0.56,-3.82,1
1.34,-4.15,1
1.13,3.63,1
0.38,3.97,1
0.79,4.51,1
-1.23,-3.82,1
-2.21,-3.16,1
3.85,-1.19,1
2.95,-3.12,1
4.28,0.78,1
0.32,-4.04,1
2.56,2.9,1
-3.06,2.78,1
-3.43,-2.01,1
-1.38,4.23,1
4.49,-0.7,1
3.99,-0.73,1
-0.49,-3.97,1
3.87,1.01,1
0.3,3.8,1
1.89,-2.86,1
2.39,-2.8,1
3.24,-2.66,1
-1.42,-3.68,1
-1.92,2.99,1
3.97,-1.52,1
0.94,3.67,1
3.45,1.99,1
0.54,3.82,1
1.71,-3.44,1
-1.14,3.66,1
1.52,-3.87,1
-1.3,-4.02,1
-2.93,2.72,1
-1.7,3.23,1
-2.14,3.48,1
-0.04,-3.79,1
3.57,2.06,1
2.88,2.74,1
0.18,3.71,1
-1.08,4.2,1
-2.32,3.55,1
1.41,3.55,1
0.07,3.62,1
2.87,-2.36,1
-4.19,-0.03,1
1.99,3.7,1
-3.33,3.13,1
3.96,0.55,1
2.41,-3.18,1
3.65,0.58,1
-2.82,2.85,1
2.93,2.35,1
0.63,3.79,1
2.4,-3.91,1
-3.18,-2.85,1
-3.18,-2.62,1
2.7,-2.84,1
2.9,-3.06,1
-0.89,3.71,1
1.9,-3.66,1
1.09,4.01,1
-4.19,-0.12,1
-1.9,-3.76,1
-1.13,3.27,1
-3.68,-0.01,1
-2.43,-3.14,1
2.82,-2.91,1
3.22,1.94,1
1.61,3.69,1
3.27,2.11,1
0.56,3.87,1
1.09,-3.73,1
1.16,-4.23,1
-3.61,1.22,1
0.46,-4.11,1
-3.21,2.57,1
2.78,3.28,1
-3.24,1.55,1
3.26,-1.61,1
-3.69,-0.82,1
-1.73,3.51,1
-2.64,-2.62,1
-2.96,2.59,1
3.33,-1.97,1
0,-4.02,1
-0.28,3.83,1
-4.18,0.29,1
-4.25,-0.43,1
0.72,3.65,1
2.11,-3.13,1
-4.16,-0.29,1
0.6,3.92,1
3.72,-1.47,1
3.73,-1.2,1
-3.66,1.86,1
-3.37,-1.24,1
0.5,4.05,1
2.81,1.57,1
-3.48,-0.58,1
-0.77,3.92,1
3.85,-1.32,1
-1.8,3.64,1
-3.7,1.26,1
4.03,-0.16,1
-2.51,3.12,1
-3.93,-0.59,1
3.24,-2,1
3.43,-1.99,1
4,0.85,1
3.29,1.82,1
-3.7,-0.14,1
4.2,-0.52,1
-3.4,-2.06,1
-3.05,2.6,1
-1.88,3.53,1
4.06,0.46,1
-3.22,1.3,1
3.27,-2.23,1
-3.11,2.21,1
-1.36,-3.73,1
-3.03,2.25,1
-3.58,0.47,1
3.11,2.62,1
3.61,-1.86,1
-3.82,1.7,1
3.68,-0.57,1
3.82,-1.71,1
-3.84,-0.04,1
1.76,3.92,1
-0.98,4.2,1
-3.26,2.46,1
-3.86,1.38,1
2.93,2.25,1
1.52,-3.87,1
2.03,-3.51,1
-0.24,4.03,1
2.42,-3.02,1
-3.18,2.26,1
0.53,-4.15,1
3.52,2.3,1
-0.61,-3.99,1
2,3.93,1
2.95,2.28,1
-0.02,4.09,1
-2.55,-3.42,1
-4.39,-0.1,1
-3.36,-2.02,1
0.04,-4.07,1
3.79,-1.89,1
3.89,-0.81,1
0,-3.9,1
-3.37,-2.11,1
-3.29,1.47,1
-1.14,-4.1,1
-3.96,1.29,1
1.7,-3.47,1
-3.61,0.84,1
-4.07,1.4,1
-3.69,-1.64,1
3.91,-1.08,1
-3.93,-0.45,1
-3.51,1.44,1
-3.9,-0.68,1
-4.01,-0.43,1
-3.65,-0.67,1
-0.23,4.03,1
-3.02,2.88,1
1.87,-3.95,1
-4.22,-0.61,1
-3.3,-2.58,1
-0.34,-3.48,1
-0.35,-4.1,1
0.78,3.94,1
2.46,3.37,1
-0.31,4.15,1
1.32,-3.92,1
0.32,-3.75,1
3.62,0.45,1
-2.76,-3.16,1
-3.83,2.08,1
1.24,3.93,1
-2.04,-3.75,1
-4.03,-0.39,1
-4.16,-0.25,1
-2.88,3,1
-0.7,-3.96,1
-0.14,-4.16,1
1.64,-3.71,1
0.42,3.73,1
-3.79,1.82,1
-3.9,-0.25,1
0.73,3.92,1
-3.85,-2.47,1
-3.29,2.08,1
-2.78,-3.27,1
-2.76,-2.4,1
4.01,-0.95,1
4.06,-0.87,1
0.93,3.64,1
-0.16,3.89,1
-0.94,-3.92,1
3.62,1.08,1
-1.18,-3.61,1
1.58,-4.07,1
3.78,-0.01,1
-3.64,-1.9,1
-4.01,-0.74,1
-2.33,3.64,1
4.11,1.04,1
-3.44,-2.18,1
2.66,3.04,1
-4.36,0.51,1
1.11,4.24,1
0.19,-3.85,1
-3.29,2.76,1
1.33,3.7,1
-3.88,0.45,1
-3.33,0.85,1
-4.02,1.46,1
3.78,-0.72,1
3.29,-1.4,1
3.86,-0.24,1
-1.85,3.01,1
-4.2,0.76,1
-3.17,-1.21,1
-3.71,-0.03,1
0.73,3.44,1
-2.99,2.43,1
3.04,-2.26,1
-3.64,-0.68,1
4.11,-0.02,1
2.9,-2.56,1
4.28,0.59,1
-2.09,-3.19,1
-2.39,3.49,1
4.21,1.09,1
4.11,1.01,1
0.13,3.84,1
-1.03,4.29,1
-3.89,-0.01,1
-2.52,3.06,1
1.19,3.95,1
0.91,-3.95,1
-2.49,3.77,1
2.45,-3.04,1
-2.02,3.98,1
3.6,-2.55,1
-0.61,-3.8,1
-3.37,1.52,1
3.62,-2.2,1
0.76,4.22,1
-4,0.79,1
-4.33,0.46,1
-0.93,-4.02,1
-2.81,-1.81,1
2.66,-3.53,1
1.85,-3.56,1
-3.53,0.92,1
3.74,1.52,1
0.41,-3.96,1
3.66,-0.4,1
-3.93,0.2,1
0.62,-3.74,1
3.85,-0.44,1
-1.3,-3.43,1
-1.73,3.85,1
3.84,-0.59,1
4.02,-0.62,1
0.71,4.11,1
-2.62,2.76,1
-3.57,-2.22,1
-3.82,0.46,1
3.64,-0.49,1
-0.76,4.01,1
-3.6,-1.85,1
-3.58,0.1,1
-1.13,3.82,1
3.51,-0.89,1
-2.94,-1.9,1
-3.52,-1.53,1
-0.92,3.37,1
-4.15,-0.62,1
1,3.21,1
2.98,1.93,1
3.93,0.59,1
-3.88,0.35,1
0.24,4.19,1
-3.91,-1.92,1
-2.32,3.57,1
3.74,-2.37,1
3.77,-0.71,1
4.21,-0.01,1
3.24,-1.92,1
-2.01,3.79,1
2.31,-3.47,1
1.72,3.46,1
-3.76,1.59,1
-3.75,0.11,1
0.57,-3.51,1
0.12,-3.91,1
-3.58,-0.16,1
-2.65,-3.07,1
2.38,-3.37,1
-3.7,-1.77,1
-4.23,-0.28,1
1.46,3.52,1
-2.87,3.12,1
2.68,-2.62,1
0.18,1.54,2
1.28,-1.9,2
-1.95,-0.58,2
0.28,-1.83,2
2.09,-0.52,2
0.36,2,2
1.95,-0.13,2
-0.66,-1.7,2
1.49,0.27,2
0.96,1.79,2
-1.89,-0.05,2
2.01,0.04,2
-1.12,-1.77,2
-1.62,-0.77,2
1.26,-0.94,2
-1.7,1.27,2
-0.11,1.73,2
1.15,1.74,2
-2.08,-0.46,2
0.87,-1.41,2
2.05,0.58,2
-0.62,1.83,2
-0.56,2.13,2
2.06,0.63,2
-0.92,-1.71,2
0.34,-1.47,2
1.74,-0.6,2
1.25,-1.56,2
0.49,-1.94,2
-1.06,2.04,2
2.49,0.78,2
-0.98,1.27,2
1.19,2,2
1.05,1.64,2
1.72,-0.28,2
-2.18,0.6,2
-1.73,0.01,2
1.82,1.16,2
-2.05,1.43,2
-1.8,-0.99,2
1.07,-1.75,2
-0.83,2.22,2
1.24,1.73,2
-2.16,0.11,2
1.96,-1.27,2
1.45,-1.51,2
0.51,-1.66,2
1.32,-1.47,2
1.5,0.71,2
1.45,0.29,2
-1.63,-0.69,2
-1.81,0.06,2
2.04,-0.12,2
-1.17,1.44,2
1.93,0.51,2
1.91,0.1,2
-0.41,-1.95,2
1.49,-1.42,2
-2.06,0.15,2
-2.22,-1.12,2
-1.93,1.21,2
-1.68,0.63,2
0.61,-1.92,2
1.92,-0.02,2
1.43,0.93,2
0.04,-2.02,2
0.86,-1.81,2
-2.02,0.54,2
-1.68,0.91,2
-1.97,0.64,2
-1.49,1.47,2
0.43,-2.11,2
-1.87,-0.56,2
-1.95,1.16,2
1.5,-1.33,2
-1.83,0.16,2
2.08,-0.21,2
-1.05,1.57,2
-1.74,-0.47,2
2.29,-0.03,2
1.78,1.25,2
-1.11,1.42,2
-1.54,1.08,2
-2.14,-0.47,2
1.87,-0.84,2
0.34,1.57,2
2.01,-0.25,2
0.97,0.89,2
1.66,0.68,2
-1.03,1.39,2
2.03,0.39,2
-1.66,-1.25,2
1.05,-2,2
1.32,0.83,2
2.09,0.08,2
1.59,1.44,2
-1.63,-0.26,2
1.88,0.04,2
1.08,-1.21,2
-1.63,-0.31,2
-1.82,-0.39,2
-0.48,-1.57,2
-0.6,-2.27,2
-1.91,0.57,2
-1.4,1.68,2
2.09,0.27,2
1.94,-0.58,2
-1.8,1.17,2
0.55,2.32,2
-1.04,1.53,2
-1.37,1.9,2
0.49,-1.9,2
2.11,-0.42,2
-0.99,-1.17,2
-1.95,-0.64,2
-1.86,0.11,2
1.73,-0.19,2
-0.27,1.99,2
1.21,1.3,2
0.32,1.99,2
-1.11,-1.87,2
-0.32,-2.08,2
1.17,-1.2,2
-0.25,-1.95,2
-1.72,-1.07,2
0.83,-1.78,2
-1.02,-2.05,2
1.02,1.85,2
-1.58,-1.34,2
-0.07,1.83,2
0.89,-1.4,2
2.26,-0.87,2
-1.99,0.27,2
0.98,1.53,2
-0.55,1.88,2
-1.46,1.92,2
-1.58,-0.72,2
1.1,1.65,2
-1.9,-0.12,2
0.37,2.14,2
1.75,1.02,2
2.05,1.44,2
-1.65,-1.76,2
-1.72,0.02,2
-1.39,-1.23,2
-0.92,-1.51,2
1.57,0.49,2
2.12,-0.52,2
1.86,0.6,2
1.32,1.33,2
-2.37,0.7,2
2.5,-0.51,2
2.08,-0.22,2
1.66,1.11,2
-1.59,-1.09,2
1.71,-0.53,2
1.48,1.18,2
-2.04,0.36,2
1.84,0.39,2
-0.77,-1.84,2
2.05,1.08,2
-0.91,1.58,2
1.57,0.8,2
2.04,0.08,2
-0.91,2.15,2
-1.32,1.33,2
0.58,1.43,2
2.05,0.49,2
-1.94,0.5,2
2.33,0.22,2
1.17,2.01,2
1.3,-1.39,2
-0.59,-1.85,2
0.87,1.1,2
-0.74,-1.9,2
1.43,-1.17,2
-1.02,1.94,2
-0.26,-1.97,2
1.8,-1.04,2
1.72,-1.25,2
-0.77,1.72,2
1.87,0.85,2
-0.58,-2.22,2
-1.94,1.49,2
-0.68,2.12,2
2,0.33,2
-1.9,0.1,2
0,1.84,2
1.04,1.44,2
-2.24,-0.01,2
1.82,-0.22,2
1.11,-1.49,2
-1.52,1.46,2
-0.23,2.32,2
-0.72,1.76,2
0.05,-2.38,2
1.83,-0.1,2
1.04,1.74,2
2.17,0.78,2
0.86,-1.31,2
-2.11,-0.35,2
-1.89,0.24,2
-2.26,-0.28,2
-0.67,2.01,2
1.55,-1.35,2
0.9,-1.33,2
1.53,1.2,2
-0.25,-1.72,2
0.41,-1.72,2
-1.38,-1.9,2
0.32,1.88,2
-1.99,-1.27,2
1.82,0.8,2
-2.07,0.77,2
1.75,-1.32,2
-0.1,2.25,2
1.81,-1.56,2
-1.56,-1.13,2
1.95,-1,2
-1.91,0.3,2
0.25,-1.9,2
-0.89,2.27,2
2.12,0.85,2
-1.14,-1.3,2
-1.93,-0.62,2
-1.1,1.29,2
-1.01,1.63,2
-1.75,1.12,2
2.11,-0.46,2
-0.17,-2.3,2
1.87,0.01,2
0.12,1.97,2
-0.11,-1.83,2
1.85,0.58,2
0.73,1.57,2
-1.27,1.22,2
-1.89,0.01,2
-1.96,-0.2,2
-1.64,-1.2,2
-0.95,-1.81,2
-1.99,-0.33,2
0.81,-1.7,2
-1.34,-1.47,2
-1.98,0.3,2
-1.7,-1.03,2
0.95,-1.16,2
-1.28,1.82,2
1.44,-1.49,2
1.61,-1.46,2
0.35,2.39,2
-1.05,-2.02,2
1.97,-0.6,2
0.36,-2.2,2
-1.43,-1.79,2
-1.84,1.66,2
0.08,-1.65,2
0.69,1.92,2
-1.62,1.32,2
-0.29,-2.01,2
1.92,-0.42,2
1.3,-1.35,2
-1.4,1.21,2
0.72,-2.02,2
-1.04,-1.58,2
-0.23,2.21,2
-1.83,1.12,2
-1.67,0.86,2
-1.18,1.59,2
-0.02,2.32,2
-0.03,1.65,2
1.27,1.39,2
-1.44,-1.48,2
0.41,-2.04,2
-1.64,-1.18,2
1.47,1.6,2
0.15,2.13,2
2.17,-1.67,2
1.53,-1.66,2
-0.71,1.72,2
2.23,0.62,2
0.95,-1.48,2
1.58,-1.2,2
-1.76,-1.13,2
-0.06,-1.98,2
0.79,-1.85,2
-1.71,-0.61,2
0.99,-1.58,2
-1.19,1.38,2
1.95,0.77,2
2.28,-0.61,2
-1.01,-1.34,2
-0.71,1.72,2
1.4,1.89,2
0.42,-1.94,2
-2.06,-1.16,2
-2.25,-0.52,2
0.1,2.02,2
1.89,-0.69,2
-2.4,0.09,2
0.57,1.67,2
-1.09,-1.26,2
-2.44,0.28,2
-1.54,1.81,2
1.47,-1.62,2
-1.17,1.92,2
0.55,1.66,2
0.97,1.76,2
-2.27,0.06,2
1.06,1.52,2
1.6,0.67,2
-1.68,1.08,2
-1.79,0.86,2
1.94,-0.89,2
0.6,-1.9,2
-1.61,1.31,2
2.08,-0.13,2
2.05,-0.75,2
1.98,0.36,2
-0.85,-1.53,2
-1.12,1.45,2
0.27,1.72,2
1.62,1.84,2
0.81,1.84,2
2.42,-0.3,2
0.49,1.66,2
-0.9,1.81,2
-1.77,-0.77,2
1.24,1.33,2
0.41,-2.07,2
1.75,0.34,2
-1.67,1.05,2
1.65,-0.78,2
0.62,1.2,2
-0.11,-1.72,2
-1.63,-1.06,2
1.96,-0.68,2
-1.81,1.81,2
-0.28,-1.64,2
1.54,-1.08,2
-1.68,-0.79,2
0.42,1.71,2
-1.81,0.22,2
0.37,-1.79,2
1.99,0.46,2
0.7,2.2,2
1.01,-1.72,2
2.36,0.79,2
1.14,1.59,2
-1.51,-1.65,2
-1.39,-1.22,2
1.73,0.5,2
-1.39,-0.89,2
-1.53,-0.89,2
-2.19,0.36,2
-1.76,0.67,2
-1.39,1.54,2
-1.7,0.49,2
1.79,0.3,2
-0.86,-1.77,2
-0.99,1.97,2
-1.07,1.5,2
-2.15,0.57,2
0.87,2.04,2
1.44,1.56,2
-2.22,0.12,2
-0.15,-1.75,2
-0.11,-2.11,2
1.84,0.34,2
-1.8,-0.75,2
2.35,0.38,2
2.22,-0.65,2
-2.13,0.67,2
-2.14,0.6,2
-1.48,1.64,2
1.53,-1.49,2
1.96,-0.53,2
-1.79,0.57,2
-1.98,0.61,2
1.03,-1.55,2
2.3,-0.24,2
-1.93,0.12,2
-0.99,2.49,2
-0.4,2.04,2
1.51,0.81,2
-1.57,1.3,2
-0.42,1.5,2
-1.74,-1.52,2
-1.5,-1.62,2
-1.96,-0.35,2
0.59,2.21,2
1.41,1.52,2
-0.47,-1.83,2
1.4,1.27,2
0.64,2.03,2
-1.98,-0.04,2
1.86,-0.42,2
-1.69,1.58,2
1.77,1.61,2
0.57,1.7,2
-1.25,-1.08,2
-0.59,-2.02,2
2.12,-0.24,2
0.75,-1.36,2
-1.72,-0.64,2
1.5,1.52,2
-1.56,1.36,2
2.27,0.36,2
-1.73,0.78,2
1.46,1.03,2
1.67,0.85,2
-1.51,-0.06,2
2.29,-0.21,2
2.27,-0.6,2
-1.85,0.51,2
1.98,1,2
2.24,-0.06,2
1.26,-1.2,2
1.23,-1.8,2
1.2,1.3,2
-0.89,-2.09,2
1.83,1.01,2
1.49,0.94,2
0.52,-1.75,2
1.88,0.42,2
0.81,-1.89,2
-1.01,-1.34,2
-1.87,-1.35,2
-1.71,1.4,2
-0.54,-1.94,2
2.13,0.45,2
1.45,1.81,2
-2.19,-0.6,2
1.71,-0.49,2
1.78,-1.1,2
-1.95,-0.5,2
-0.31,1.7,2
0.38,-2.16,2
1.93,1.14,2
-0.4,2.22,2
-1.56,1.13,2
-1.22,2.06,2
1.28,-1.58,2
-1.27,1.82,2
-1.29,1.79,2
1.2,-2.02,2
-1.38,1.41,2
-2.08,-0.41,2
1.14,1.56,2
-1,-1.02,2
-0.97,1.89,2
-0.24,1.72,2
0.48,1.75,2
1.02,1.99,2
0.98,1.82,2
1.58,0.78,2
0.7,-1.99,2
1.09,-1.43,2
-1.12,-1.6,2
0.01,-1.91,2
0.84,-1.38,2
-1.83,-1.26,2
-1.17,1.33,2
0.14,1.85,2
0.94,-1.87,2
-2.06,-0.79,2
0.1,-2,2
-0.74,-1.3,2
-0.52,2.04,2
-1.96,-0.54,2
-1.25,1.39,2
-1.48,-1.79,2
1.03,-1.64,2
0.47,-2.34,2
2.04,-1.14,2
1.76,-1.03,2
1.42,1.48,2
0.54,1.81,2
-1.66,-0.56,2
1.92,1.53,2
1.06,1.54,2
-0.53,1.98,2
1.86,1,2
0.29,2.04,2
-1.85,-1.14,2
-0.6,1.9,2
0.87,-1.53,2
1.87,0.57,2
1.68,0.31,2
1.14,-1.48,2
2,-0.79,2
-2.37,0.1,2
-1.87,1.14,2
-0.39,-1.62,2
0.98,-1.44,2
-2.13,0.89,2
-0.72,1.74,2
-1.04,1.34,2
0.86,1.59,2
1.87,0.85,2
-1.85,-0.13,2
